gene_id E15_cpn E15_corticothal E15_subcereb E16_cpn E16_corticothal E16_subcereb E18_cpn E18_corticothal E18_subcereb P1_cpn P1_corticothal P1_subcereb
1110006O24Rik 0.611657 0.320034 0.720194 0.571868 0.347128 0.52955 0.471443 0.32817 0.525008 1.18706 1.16288 1.92837
1110007A13Rik 3.47338 2.26261 2.36883 3.35812 2.49048 2.06658 2.48354 1.83821 2.75868 1.98876 1.82197 2.68759
1110007C09Rik 1.72189 5.31165 4.92932 1.2948 4.32144 2.02812 1.56533 3.75764 2.12055 3.11879 4.60573 2.37361
1110008F13Rik 16.4436 13.4352 13.6098 12.7281 12.8636 14.3409 12.055 13.0273 15.3377 20.1629 22.3358 26.6735
1110008J03Rik 8.21062 6.58448 8.14164 7.43723 6.29315 8.84018 7.07326 6.73379 9.02805 6.12885 6.33252 9.1444
1110008L16Rik 5.40555 4.69121 5.99511 5.22583 4.93564 5.43266 5.02706 4.30816 5.3708 3.59971 3.44296 4.85379
1110008P14Rik 23.623 15.1402 17.8989 17.8093 13.7219 25.1172 20.8695 22.1578 38.3855 34.3741 39.4376 61.3656
1110012D08Rik 5.13911 3.14015 4.65212 3.86993 3.61175 2.78714 4.03136 3.48802 4.06184 3.24736 3.34359 3.63053
1110012J17Rik 22.9804 29.5402 33.4099 12.6418 33.2176 15.604 12.1795 35.7012 14.0231 13.1944 23.5804 11.9293
1110012L19Rik 6.53476 8.38438 7.17775 8.70962 9.84068 9.52467 10.8149 11.6067 11.0785 10.4697 9.02458 9.84255
1110013L07Rik 4.61076 3.61798 3.97884 3.66512 4.34618 5.12879 4.03192 3.76185 4.837 4.28384 4.36348 4.89207
1110014N23Rik 18.8291 21.3433 20.3297 21.3286 23.1388 23.9039 23.9819 26.324 24.4202 30.1315 33.1309 33.2362
1110017D15Rik 1.56003 2.36962 1.26179 1.93201 3.35767 2.84785 3.38751 2.03565 2.93153 3.16792 2.95172 3.587
1110017F19Rik 0.128491 0.120577 0.0759141 0.155139 0.0911397 0.133783 0.0804649 0.109853 0.0870712 0.117626 0.0900559 0.0677908
1110018G07Rik 25.9206 26.5001 27.9296 30.6156 30.1101 32.1495 30.0406 30.6805 32.7196 33.8493 32.1689 37.1424
1110018H23Rik 0 0 0 0 0 0.0117129 0 0 0 0.0423651 0.0312876 0.0300148
1110018J18Rik 0.212732 0.71216 0.56154 0.213863 1.22525 0.167589 0.420059 1.11628 0.119142 0.177381 0.374763 0.0558269
1110020G09Rik 7.02803 5.71355 6.42769 10.0077 5.16359 4.8273 10.4381 4.80494 5.10297 7.1175 3.51447 4.24571
1110021J02Rik 15.7188 14.0647 16.5212 13.8251 13.6336 10.3818 13.2074 11.6224 7.98666 11.4677 10.1652 8.35664
1110021L09Rik 9.22563 16.9161 14.1235 7.857 16.0111 12.9175 6.25297 16.9538 11.561 5.4356 14.9082 9.63284
1110028C15Rik 8.06813 7.22133 8.54263 7.87014 7.12303 5.57656 5.81944 5.23681 3.45285 2.62219 2.89599 1.5006
1110031I02Rik 2.42197 1.6627 1.73912 3.10004 1.94372 2.14117 3.38715 2.48658 1.88833 4.29563 3.79786 3.05167
1110032A03Rik 3.29083 3.55017 3.7245 3.25095 3.31066 2.96214 2.86023 3.45596 2.86628 2.55837 3.06275 2.65353
1110032A04Rik 0.00761946 0 0.0412868 0 0.0072394 0.0885552 0 0 0.137896 0.00859521 0.0246376 0.0274506
1110032F04Rik 0.693218 0.359087 0.364877 1.15992 0.619968 1.40648 1.80219 1.03128 2.75188 2.61364 2.75281 1.79471
1110034A24Rik 4.9341 5.39824 5.18753 4.88281 4.44189 4.47796 3.9909 4.27661 4.04186 5.32535 5.0827 4.86987
1110034B05Rik 7.11258 4.92604 3.87521 7.52023 6.27753 5.3203 8.85488 7.91043 6.50159 6.71358 6.47113 6.36512
1110034G24Rik 10.1964 8.85621 9.16814 8.7797 8.40888 8.92502 8.03227 9.53856 8.49161 7.77004 7.43218 8.86366
1110037F02Rik 17.2884 15.2709 16.5341 16.6452 14.5124 13.7317 13.4253 12.1326 11.3056 10.6404 10.743 8.66009
1110038B12Rik 14.2497 15.3851 19.2661 10.3507 12.3762 12.7626 7.11327 8.2652 7.74908 6.69632 6.87127 3.9152
1110038D17Rik 8.29351 8.33322 8.37659 7.82275 8.45319 7.85252 8.89339 8.06079 7.00312 7.98527 7.75578 5.86223
1110038F14Rik 20.1367 15.993 19.0783 16.8424 16.1854 18.2473 15.8347 15.6911 17.0029 14.0719 13.1611 14.5078
1110049B09Rik 0.0300841 0 0 0 0.0205556 0.0101652 0.0182092 0.0445909 0.016066 0 0.0423373 0.00137351
1110049F12Rik 15.1889 14.7007 14.8977 15.2685 14.0631 16.759 17.2072 16.1093 18.1517 21.542 18.5912 21.8514
1110051M20Rik 34.1346 34.8991 35.2865 34.1591 34.3669 42.4288 35.5714 39.7119 44.847 43.9206 46.8008 57.1364
1110054O05Rik 15.132 11.2413 11.9819 14.1022 11.3294 12.7414 12.2909 10.7016 9.83287 7.66307 6.07579 5.82778
1110057K04Rik 22.5621 22.573 23.2669 23.6172 23.049 24.7017 22.0737 22.7407 22.9777 19.7422 20.8179 22.3821
1110058L19Rik 13.2578 16.6413 19.1639 11.3359 14.068 15.2803 10.7345 16.1309 15.4814 13.559 23.2928 25.089
1110059E24Rik 9.83062 12.5348 10.6005 9.14028 12.9412 10.6748 11.1823 13.1771 11.9824 8.39514 10.5066 10.6742
1110059G10Rik 2.65465 2.92905 2.73541 3.26166 3.18018 3.05085 3.12083 3.59028 2.92423 3.81692 4.73763 3.9488
1110059M19Rik 0 0 0 0 0 0 0 0 0 0 0 0
1110065P20Rik 25.3039 18.1795 20.0248 22.1715 16.8986 23.427 24.1394 20.0969 25.1093 30.7446 28.8896 40.4407
1110067D22Rik 13.4342 29.2855 21.6369 16.4512 27.7608 22.7886 20.8585 27.5319 24.0001 21.8512 27.0984 23.9376
1190002H23Rik 0.52194 0.936417 0.523802 0.841236 0.487642 0.57599 1.18176 0.288292 0.932417 4.74408 0.497216 1.53369
1190002N15Rik 6.11979 1.09307 0.592406 5.28189 0.833249 3.57966 6.15111 0.582957 12.1149 6.31418 0.662584 15.0512
1190003J15Rik 0.0213382 0.0217619 0 0 0 0 0.0764745 0 0 0.0627744 0.0599818 0.025332
1190003K10Rik 0 0 0 0 0 0 0 0 0 0.0147354 0 0
1190005F20Rik 10.8353 12.182 11.5961 10.519 11.797 12.173 7.43396 8.48653 8.50402 2.3045 2.85291 2.54898
1190005I06Rik 3.61068 10.3002 7.02852 5.24625 9.44242 11.0563 7.0744 9.19494 15.5553 5.12545 7.54922 17.1783
1190007F08Rik 10.2621 7.46134 8.30615 7.71789 6.21948 8.04792 7.39284 5.77848 7.49267 9.76192 9.50719 9.82728
1190007I07Rik 3.25633 3.13465 2.97165 3.12304 2.9408 2.84628 2.39991 3.34118 2.97091 1.65109 1.74439 1.80204
1200002N14Rik 0.113073 0.143271 0.233035 0.325776 0.139256 0.325574 0.305945 0.173228 0.520951 0.373882 0.129296 0.392318
1200009I06Rik 0.0577964 0.0182567 0.0147265 0.0265967 0.0324797 0.0273937 0.0449052 0.0472529 0.0225889 0.0892207 0.0492072 0.0552567
1200011I18Rik 7.66681 7.9417 7.49031 8.37585 7.50386 8.30019 8.4055 6.5904 8.58714 7.49307 6.24745 7.68599
1200011M11Rik 8.88987 8.93685 8.15486 8.13658 7.72986 8.00524 7.38993 7.29655 8.06879 7.8794 8.36828 9.82138
1200014J11Rik 6.31573 6.01686 6.06252 5.28477 4.82305 4.88415 4.95072 4.7429 4.53659 4.26966 4.10244 3.76282
1200016B10Rik 4.6504 6.23755 5.66867 3.33711 5.12264 4.10937 4.30328 6.36934 4.94344 1.61294 2.25124 1.68141
1300001I01Rik 24.8542 20.9818 24.7908 22.7402 21.7022 26.7137 24.0648 23.0542 29.3876 30.3208 26.7672 35.2367
1300002K09Rik 0.717012 0.17054 0.263634 1.06613 0.174086 0.257767 0.752691 0.262123 0.316804 0.383945 0.283424 0.09082
1300010F03Rik 2.94474 2.14218 1.83309 3.21402 2.73933 2.01361 2.93155 3.36755 2.38965 3.80178 3.57963 3.40121
1300014I06Rik 0.473376 0.0696746 0.0234363 0.113098 0.118236 0.0552528 0.0834575 0.11613 0.0340343 0.389047 0.0886161 0.0235245
1300017J02Rik 0.0114702 0.0288967 0.0242188 0.016105 0.0401697 0.0435271 0.0304241 0.0445057 0.0327842 0.0791013 0.0744979 0.0371354
1300018I17Rik 40.8802 38.5967 42.6428 38.5605 39.5876 45.131 41.8567 39.5452 42.6911 42.9323 38.0663 42.5938
1300018J18Rik 7.59484 6.92303 6.92613 6.82947 5.95591 7.41029 7.10352 6.57265 6.886 7.97634 7.09154 8.14356
1500001A10Rik 2.4523 2.97535 2.68097 2.11111 3.33037 0.840437 1.28562 2.31279 0.79134 1.17604 1.75182 0.461649
1500001M20Rik 10.0688 6.91675 7.95488 10.0964 7.0177 8.5207 9.46336 6.68986 8.35206 8.96192 5.90501 9.02167
1500002O20Rik 18.4415 17.1376 16.4844 19.2093 18.893 18.8101 19.732 22.3946 17.6475 23.9835 30.9068 21.732
1500003O03Rik 25.4061 28.2275 27.1197 21.087 23.9751 25.523 21.2265 25.4094 26.9668 24.1008 31.3124 28.5717
1500004A13Rik 21.185 22.1788 22.5535 21.955 20.9521 22.5873 11.2772 13.5929 12.977 10.4311 14.3485 13.3214
1500009C09Rik 24.4508 27.3713 27.8778 26.4641 25.4585 22.1636 30.7229 30.9703 22.7068 34.4737 34.4773 24.9714
1500009L16Rik 2.84887 4.96475 3.52805 3.86275 4.46154 4.17594 7.65127 5.41114 7.42023 10.2484 9.29849 9.38963
1500010J02Rik 29.3873 34.4115 32.5386 30.8697 33.3747 25.1039 28.7549 32.2883 22.7122 22.9283 22.8792 20.2508
1500011B03Rik 8.28609 5.30382 5.94885 6.2498 4.10678 4.94006 8.2245 7.65753 7.41168 21.8874 23.1575 22.7521
1500011H22Rik 30.4883 38.759 32.9928 31.1543 37.0391 35.6444 34.5587 43.0428 38.0933 38.0786 50.8972 50.5737
1500011K16Rik 1.78328 1.78375 1.63795 2.63682 2.03761 2.81258 4.29618 3.76577 5.20587 5.85683 5.02346 6.93998
1500012F01Rik 70.3716 126.321 95.4262 63.3577 88.7431 55.1301 55.1144 59.5149 37.878 31.3381 24.114 24.1901
1500015A07Rik 1.50345 1.30799 1.70049 1.71553 1.37444 1.64755 1.49987 1.45863 1.42791 1.3711 1.55251 1.40514
1500015O10Rik 0.252683 0.370945 0.395468 0.427675 0.310843 0.418672 0.233132 0.165621 0.194059 0.156933 0.150994 0.131843
1500031L02Rik 8.33323 13.1453 11.7796 10.7715 13.247 13.3286 12.2463 14.4145 15.3168 12.17 14.9266 17.6061
1500032L24Rik 62.6463 59.7278 65.4893 58.401 58.1904 72.8246 63.4123 64.6739 85.769 91.1225 90.8045 113.509
1520402A15Rik 0.573275 0.732629 0.626095 0.983872 1.00718 0.6266 1.15415 1.72195 0.788598 1.85565 3.40485 2.27112
1600002H07Rik 9.13624 8.79541 9.46823 7.90065 8.41205 7.84102 7.18723 8.61405 6.34473 6.08851 7.37381 6.3932
1600002K03Rik 9.16577 8.46574 8.80923 8.11232 7.47117 9.08365 8.64396 7.58037 7.50883 3.8798 3.9957 4.56204
1600012F09Rik 8.88061 7.15051 8.2397 8.305 7.51424 8.30044 7.19139 7.07892 7.98505 5.8772 5.71297 7.62335
1600012H06Rik 10.1834 9.52147 9.60439 10.2499 9.61067 11.2251 9.89672 10.0964 11.3711 12.928 12.2473 16.9292
1600012P17Rik 0.0104742 0 0 0 0 0 0 0.0143641 0 0 0 0
1600014C10Rik 2.39882 1.84201 2.1468 2.14886 1.82411 2.30784 2.07636 2.10416 3.41127 1.66191 1.28993 2.58094
1600014C23Rik 0 0 0.0741059 0.0329309 0 0.0326694 0 0 0 0.0518804 0.0344433 0
1600014K23Rik 0 0.0163497 0.0199828 0 0.0171818 0 0 0.0476136 0.0522113 0 0.0583227 0
1600015I10Rik 0 0 0 0 0 0 0 0 0 0 0 0
1600016N20Rik 1.42313 0.868769 1.9304 0.473035 0.320932 0.444564 0.162307 0.110546 0.160305 0.0792412 0.0428934 0.0570906
1600021P15Rik 9.5985 34.7338 29.4147 14.6663 31.4311 41.1158 21.8928 34.4889 58.3537 33.0038 37.6895 61.7954
1600027N09Rik 25.2418 18.4639 20.6332 21.3856 17.4361 19.4254 18.5353 16.5375 14.5946 14.9187 14.0445 13.4075
1600029D21Rik 0.0200049 0.0129949 0.00793383 0.00680303 0.03508 0.0141695 0.023049 0.0137587 0.0346731 0.0268866 0.0251789 0.0639545
1600029I14Rik 0.0329221 0.0361495 0.0528523 0.0495315 0.0186893 0 0 0.0335511 0 0.0394546 0 0.0184039
1600029O15Rik 0.632664 14.3962 13.9565 0.558992 10.2846 6.73426 0.289488 9.80349 4.73264 0.180372 10.306 3.60049
1700001C02Rik 0 0 0 0 0 0 0 0 0 0.0331183 0 0
1700001C19Rik 0.00831718 0 0 0.0192918 0.00981458 0 0 0 0 0 0 0.0108972
1700001F09Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700001G17Rik 1.03542 1.68021 1.65666 1.33022 1.48193 1.01119 1.2941 1.0255 0.6786 0.824508 0.716221 0.747099
1700001J03Rik 0.110602 0.314724 0.146606 0.13169 0.061662 0.279798 0.213107 0.215136 0.0958529 0.223749 0.163881 0.0659493
1700001J11Rik 0.0350084 0.0679879 0.0709157 0.0296192 0.0380328 0.0211376 0.0334952 0.0231918 0.0351992 0.0273398 0.0104065 0.0110831
1700001K19Rik 1.5784 1.41561 1.3022 0.842383 1.08657 1.15252 0.605659 0.742 0.43027 0.891248 0.56655 0.730337
1700001L05Rik 0.0482325 0.0574401 0.0689047 0.0366791 0.0694514 0.0321436 0.116747 0.0903695 0.110343 0.0907742 0.167533 0.129798
1700001L19Rik 0.0630548 0.429488 0.204432 0.380944 0.592725 0.598648 1.31344 1.87979 2.31297 1.49094 3.32668 3.3664
1700001O22Rik 4.1415 1.2365 3.89064 1.82741 0.942102 0.942861 1.28887 1.26611 1.16485 0.90252 1.08621 1.21371
1700001P01Rik 0.946299 1.23407 1.49101 0.605832 0.725769 1.02593 0.682481 0.882117 0.539109 0.44981 0.291779 0.285836
1700003E16Rik 0.146021 1.67674 0.75522 0.528811 1.72244 1.93405 1.32294 3.09832 4.21899 2.13652 3.63091 4.84903
1700003F12Rik 0.121846 0.831072 0.761238 0.263659 1.18857 0.165334 0.322022 0.423613 0.290815 0.161216 0.202657 0.0258304
1700003G18Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700003H04Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700003M02Rik 0.0260826 0.0219398 0.0257765 0.132081 0.190463 0.157908 0.677079 0.552872 1.00568 1.21623 1.04118 1.54322
1700006A11Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700006E09Rik 0.0204028 0 0 0.0217591 0 0 0 0 0 0 0 0
1700007B14Rik 0 0 0 0 0 0.00604064 0 0 0 0 0 0
1700007E06Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700007G11Rik 0.0505634 0.0930734 0.0176935 0.0822066 0.139596 0.0328119 0.0373057 0.0673979 0.118208 0.176824 0.177798 0.0764773
1700007I08Rik 0.2994 1.27128 1.27063 0.553157 1.31541 0.395372 0.503539 1.19509 0.312731 0.17892 0.257405 0.0984021
1700007K09Rik 0.428208 0.329137 0.263208 0.45233 0.219744 0.375089 0.177893 0.291642 0.209091 0.459426 0.589586 0.475916
1700007K13Rik 0.0509216 0.0395962 0 0 0.0181633 0.0536575 0.0201269 0.135055 0.07295 0.0997651 0.588628 0.324476
1700008A04Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700008F21Rik 0.0335417 0.0107339 0.0278356 0.00858208 0.0409328 0.0428571 0.0444125 0 0.0394673 0.0359262 0.0103646 0.0165338
1700008I05Rik 0 0 0 0.00710063 0 0 0 0 0 0 0.00744668 0
1700008J07Rik 1.11662 0.956878 1.23653 1.40051 1.12759 0.897859 1.08716 0.850505 0.801153 0.920766 0.83695 0.775308
1700008O03Rik 0.814127 0.416569 0.791923 0.399321 0.436934 0.584518 0.452769 0.487396 0.643446 0.76859 0.854042 0.704591
1700008P02Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700008P20Rik 0.0825654 0 0.0186853 0.191817 0.0160719 0 0.0898038 0.0162518 0.016391 0.239729 0 0
1700009J07Rik 0.0956992 0.1054 0.0164306 0.0615688 0.0618557 0.0777116 0.208858 0.148199 0.0312029 0.0721756 0.0567685 0
1700009N14Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700009P17Rik 0 0.0126505 0.0154562 0 0.0282935 0.0144304 0 0.0134308 0.0132757 0.0413906 0 0.0295407
1700010B08Rik 0.0314661 0.015077 0.0368503 0 0 0 0.0179309 0 0 0 0.0538173 0
1700010D01Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700010H22Rik 0 0 0 0 0.0159339 0 0 0 0 0 0 0
1700010I14Rik 0.103638 0.119575 0.0233396 0.0341319 0.0151116 0.0315385 0.0401074 0.0607936 0.175677 0.0631977 0.0475629 0.305018
1700010M22Rik 0 0.0189157 0 0 0 0 0.0220105 0 0 0 0 0.0471093
1700011A15Rik 0 0 0.0166778 0 0.0353739 0.0154635 0 0 0 0 0 0
1700011E24Rik 0.0357224 0 0.0197739 0.0669968 0.0723315 0.0536418 0.0765655 0.0299128 0 0.0202273 0.0400383 0.056604
1700011F03Rik 0 0.025455 0 0 0 0 0 0.0182284 0 0 0 0
1700011F14Rik 0 0 0 0 0 0 0.0139104 0 0 0.0149136 0 0
1700011H14Rik 0.0121191 0 0 0.0114634 0 0 0 0 0.0234776 0.0136944 0 0.014555
1700011I03Rik 0 0 0 0 0 0 0.0196212 0 0 0.0882791 0.0180271 0.0603631
1700011L22Rik 0.0282632 0.0310193 0.0467902 0.0420246 0.0302664 0.0308742 0.0640672 0.0412721 0.0287113 0.100264 0 0.0337691
1700011M02Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700012A03Rik 0 0 0 0.0152048 0 0 0 0 0 0 0 0
1700012A16Rik 0.149468 0.190612 0.244197 0.350935 0.343291 0.536572 0.616543 0.402821 0.835932 0.640853 0.55852 1.31061
1700012B07Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700012B09Rik 0 0 0 0 0 0 0.0253683 0.0240216 0.0236298 0 0.0866142 0.0282509
1700012B15Rik 9.42769 11.4009 9.65618 11.2101 12.8151 9.53264 12.4391 13.1014 9.20503 15.6049 16.9636 12.3855
1700012L04Rik 0.129149 0.102263 0.0761992 0.0325381 0.0325935 0.0640434 0.145239 0.0333215 0.0333908 0.128641 0.0675247 0
1700012P22Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700013B16Rik 0.00583517 0.027373 0.00928305 0.0111233 0.0262681 0.0254356 0.0219155 0.0292616 0.0425557 0.0141189 0.0270616 0.0171581
1700013D24Rik 0 0 0 0 0 0.0312258 0.0360758 0 0 0 0.0329254 0.0352242
1700013F07Rik 0.12784 0.171645 0.153865 0.109204 0.143925 0.1133 0.246882 0.131784 0.494146 0.321238 0.363224 0.358853
1700013G24Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700013H16Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700014N06Rik 0.0366752 0.0409332 0.0151901 0 0.029459 0.0128892 0.0292852 0 0 0 0.0172129 0
1700015E13Rik 0.334497 0.344252 0.137386 0.462801 0.542065 0.198802 0.524776 0.254178 0.23615 0.28973 0.049939 0.0974353
1700015F17Rik 0 0 0 0 0 0.0210106 0 0 0.0431345 0.0586605 0.0502164 0.0236808
1700015G11Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700016C15Rik 0 0 0.0231651 0 0 0 0 0.0551773 0 0.023688 0 0
1700016D06Rik 0.0417547 0.0199681 0.0121953 0.041442 0.0236602 0.010361 0 0 0.0214023 0 0 0
1700016H13Rik 0.126129 0.108991 0.229435 0.0853757 0.0186664 0.0570162 0.0629453 0.0756329 0.0936224 0.157919 0.151217 0.147828
1700016K19Rik 0 0.0291414 0 0 0.0977362 0.193304 0.137231 0.391386 1.49267 0.186418 1.8714 3.13539
1700016M24Rik 0 0 0 0 0.00431095 0 0 0 0 0 0 0
1700017B05Rik 1.27901 1.63756 1.8814 1.1304 1.61824 1.27998 1.29597 1.97535 1.24957 1.55894 2.00561 0.966755
1700017D01Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700017N19Rik 0 0 0 0.00741389 0 0 0 0 0 0 0 0
1700018A04Rik 0 0 0 0 0.0423794 0 0 0 0 0 0 0
1700018A14Rik 0.350739 0.290519 0.731892 0.506994 0.298801 1.18862 0.239761 0.309906 1.22775 0.327881 0.289029 1.59725
1700018B08Rik 0.461867 0.425377 0.556919 0.125043 0.142066 0.155568 0.0993461 0.0810002 0.0634822 0.172864 0.0927325 0.0576165
1700018B24Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700018C11Rik 0.0214458 0.0281858 0 0 0 0 0 0.0233174 0.0229442 0 0 0.0254596
1700018F24Rik 0 0 0 0 0 0 0 0 0 0 0 0
1700018L02Rik 0.149564 0.147808 0.0856083 0.211043 0.212033 0.120903 0.368856 0.206761 0.237138 0.778082 0.463855 0.331122
1700018L24Rik 0.057777 0.0543764 0.1213 0 0 0.0581545 0.127495 0.0360361 0.0578834 0.186528 0.0698359 0.0211244
1700019A02Rik 0.076576 0 0.0856969 0 0.079023 0.0522759 0.028633 0.102788 0.0757753 0.0393544 0 0.11204
1700019B03Rik 0.0633724 0.104247 0.0956133 0.0946881 0.117671 0.0802156 0.0896008 0.105307 0.104349 0.382706 0.297356 0.226942
1700019D03Rik 0 0.23348 0.317817 0.10285 0.954015 3.26285 0.412689 1.40465 2.90717 0.596295 1.70301 1.83639
1700019E19Rik 17.0643 7.20001 10.7148 13.5278 6.24766 10.7632 10.9173 7.8437 9.75499 7.79428 6.47322 5.97812
1700019G17Rik 1.82122 2.08149 2.79953 1.89952 1.92733 2.78116 1.89284 2.27896 3.05398 1.30859 1.25539 2.14058
1700019L03Rik 0.43496 0.615795 0.465104 0.452559 0.453688 0.520855 0.495233 0.445729 0.383434 0.280764 0.259867 0.183334
